,count,mean,std,min,25%,50%,75%,max
con32c,85.0,0.007631887004752356,0.007640837322034106,0.0,0.0019680616001946,0.0049754754241091,0.0115771538672495,0.0333292009446318
con32d,85.0,0.030117842440741224,0.01689242752811664,0.0026399911588555,0.01630410633297,0.0276530874138185,0.0413911724673682,0.0714582784497135
con32e,85.0,0.0035760551837386904,0.004759610705038489,0.0,0.00063879853023802,0.0022540347212865,0.0051691081727589,0.0310757920312242
con32f,85.0,0.009049387100317734,0.010214876427088395,0.0,0.003075058634717,0.0057392281102278,0.0102684279978428,0.0581653255743709
con32g,85.0,0.005065784112395194,0.0033801742864085892,0.0,0.0028771148260517,0.0045319003039332,0.006629678488634,0.0162805421398661
con32h,97.0,0.03657126461759633,0.046004320682059195,0.0,0.0114592449317963,0.0218704233821802,0.0351193414407024,0.263835536657552
con10_s,8.0,0.5392611802394653,0.2228085944989777,0.20308864042491,0.3415667636588355,0.58368550505081,0.6995194291081732,0.80004268621433
con11_s,85.0,0.7567769498738145,0.09290859436732117,0.535965043812853,0.704666011340859,0.759446985586761,0.822588583207353,0.948700818069497
con12d_s,85.0,0.8791138499912847,0.09700241136948853,0.212567654430928,0.860972601877517,0.9051000740185,0.926097210090054,0.966425368469799
con14_s,85.0,0.7545452708141852,0.15017138643264738,0.340012336745583,0.664670822449016,0.782039995058044,0.888154544533388,0.973469903487764
con16_s,85.0,0.6762474046022865,0.1670084927561392,0.260726225767912,0.57067443683431,0.681638909498718,0.831170303926388,0.9500129189503
con17a_s,85.0,0.4914663985579208,0.1405108056573258,0.209088730610289,0.390999810444154,0.503276205338119,0.595202536522733,0.807737875099857
con17b_s,85.0,0.3913631511847038,0.14280373679792274,0.114401618365839,0.284395262944359,0.399920426349534,0.474517013023767,0.737691885412178
con18_s,85.0,0.5854285538282717,0.11697110941513976,0.318414460623348,0.488144414534399,0.574832556966858,0.689682121949621,0.816093737747724
